"Smith MK, Jones FHM, Gilbert SL, and Wieman CE. 2013. The Classroom Observation Protocol for Undergraduate STEM (COPUS): a New Instrument to Characterize University STEM Classroom Practices. CBE-Life Sciences Education, Vol 12(4), pp. 618-627; www.cwsei.ubc.ca/resources/COPUS.htm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date: ______________  Class: _____________________  Instructor: _______________________  No. students _______  Observer Name: ________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Classroom arranged how? _______________________________________________________________________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. L-Listening; Ind-Individual work; CG-Clicker Q discussn; WG-Worksheet group work; OG-Other group work; AnQ-Answer Q; SQ-Student Q; WC-Whole class discuss.; Prd-Predicting; SP-Student present.; TQ-Test/quiz; W-Waiting;  O-Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. Lec-Lecturing; RtW-Writing; FUp-Follow-up; PQ-Pose Q; CQ-Clicker Q; AnQ-Answer Q; MG-Moving/Guiding; 1o1-One-on-one; D/V-Demo+; Adm-Admin; W-Waiting; O-Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"For each 2 minute interval, check columns to show what’s happening in each category (or draw vertical line to indicate continuation of activity). Check multiple columns where appropriate.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COPUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1. Students doing,,,,,,,,,,,,,2. instructor doing,,,,,,,,,,,,3. Engagement,,,"Comments:  EG: explain difficult coding choices,  flag key points for feedback for the instructor,  identify good analogies, etc.",,,,
min,L,Ind,CG,WG,OG,AnQ,SQ,WC,Prd,SP,T/Q,W,O,Lec,RtW,Fup,PQ,CQ,AnQ,MG,1o1,D/V,Adm,W,O,L,M,H,,,,,
0 - 2,1,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,
2,1,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,
4,1,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,
6,1,1,1,,,,,,,,,,,,,1,,1,,1,,1,,,,,,,,,,,
8 - 10,1,1,1,,,,,,,,,,,,,1,,1,,1,,,,,,,,,,,,,
,L,Ind,CG,WG,OG,AnQ,SQ,WC,Prd,SP,T/Q,W,O,Lec,RtW,Fup,PQ,CQ,AnQ,MG,1o1,D/V,Adm,W,O,L,M,H,,,,,
10 - 12,1,1,1,,,,,,,,,,,,,1,,1,,1,,,,,,,,,,,,,
12,1,1,1,,,,,,,,,,,,,1,,1,,1,,,,,,,,,,,,,
14,1,1,1,,,,,,,,,,,,,1,,1,,1,,,,,,,,,,,,,
16,1,,,,,,1,,,,,,,,,1,,1,1,,,,,,,,,,,,,,
18 - 20,1,1,1,,,,,,,,,,,,,1,,1,,1,,,,,,,,,,,,,
