"from","to"
"5NWAVBMY4I","JFSWTGVOFX"
"5NWAVBMY4I","V6FDU80ZLV"
"5NWAVBMY4I","6YMQWV5D4D"
"L876OMSLYM","CVAINVWLJ3"
"L876OMSLYM","LLW8TO6WGP"
"L876OMSLYM","JF4WEXY1JF"
"L876OMSLYM","RNA6UC6B8T"
"L876OMSLYM","BRTKG2FNFP"
"L876OMSLYM","ZBPHUBWRO7"
"L876OMSLYM","SKPI15MMRR"
"L876OMSLYM","UBX30UZ4TH"
"D5D20B45KT","OYOMHL8MC1"
"D5D20B45KT","1G0VII4YVI"
"UBX30UZ4TH","9EKLX9Z29Z"
"UBX30UZ4TH","ZMPRDNQ6J7"
"X78E0L5G7V","CJ225PCE9C"
"X78E0L5G7V","JFSWTGVOFX"
"P30OXGXV3T","V6FDU80ZLV"
"P30OXGXV3T","7IVWN418GW"
"2JMR709RB4","QF2J985OGN"
"2JMR709RB4","FQW5O2A35K"
"2JMR709RB4","XU2WNXXMN1"
"FQW5O2A35K","QF2J985OGN"
"FQW5O2A35K","2JMR709RB4"
"FQW5O2A35K","XU2WNXXMN1"
"7IVWN418GW","V6FDU80ZLV"
"7IVWN418GW","P30OXGXV3T"
"ZBPHUBWRO7","EPI97AI10N"
"ZBPHUBWRO7","CVAINVWLJ3"
"ZBPHUBWRO7","0M7WU8FP7C"
"ZBPHUBWRO7","1TYAUZO07H"
"QDUSWF0D6X","V82P6KFLXJ"
"V82P6KFLXJ","QDUSWF0D6X"
"V82P6KFLXJ","9QHQ59I3FC"
"QF2J985OGN","FQW5O2A35K"
"QF2J985OGN","2JMR709RB4"
"QF2J985OGN","XU2WNXXMN1"
"I1PBIQUSGA","EPI97AI10N"
"V6FDU80ZLV","7IVWN418GW"
"V6FDU80ZLV","P30OXGXV3T"
"MU3KD0H908","CVAINVWLJ3"
"NTFDQLEFR8","V934GX8O9H"
"NTFDQLEFR8","CVAINVWLJ3"
"NTFDQLEFR8","ZUCVSWOO23"
"NTFDQLEFR8","DO15GBN0RV"
"QZYR0N9OFQ","OYOMHL8MC1"
"QZYR0N9OFQ","5NWAVBMY4I"
"QZYR0N9OFQ","V934GX8O9H"
"QZYR0N9OFQ","VHT0LY2NHG"
"QZYR0N9OFQ","ZUCVSWOO23"
"QZYR0N9OFQ","HXZ2I637DZ"
"O8TYB0ERLF","EHEVLDLIBP"
"O8TYB0ERLF","OEX0BUDSTF"
"O8TYB0ERLF","1ESTHKVA60"
"66APVBO5RX","0FYZ2FRZQ8"
"66APVBO5RX","1SE57CNHY4"
"1SE57CNHY4","0FYZ2FRZQ8"
"1SE57CNHY4","66APVBO5RX"
"V934GX8O9H","0L7TOBTR16"
"V934GX8O9H","NTFDQLEFR8"
"0WX1U7KQH5","COYPXKTJOU"
"0WX1U7KQH5","NHLDQL1M6S"
"COYPXKTJOU","0WX1U7KQH5"
"COYPXKTJOU","NHLDQL1M6S"
"X7FX98VR27","P5URK8XTQC"
"X7FX98VR27","87UDRX5SQS"
"P5URK8XTQC","X7FX98VR27"
"P5URK8XTQC","87UDRX5SQS"
"66AJMDSRAH","HDUKRCGDEW"
"66AJMDSRAH","T20YB4598N"
"66AJMDSRAH","ZGCBA05L67"
"66AJMDSRAH","WI3B0CUBP6"
"B140W9C7TO","ZQSOHBP1EJ"
"B140W9C7TO","UBZOK45TI6"
"ZQSOHBP1EJ","B140W9C7TO"
"ZQSOHBP1EJ","UBZOK45TI6"
"HDUKRCGDEW","OYOMHL8MC1"
"HDUKRCGDEW","COYPXKTJOU"
"HDUKRCGDEW","T20YB4598N"
"HDUKRCGDEW","66AJMDSRAH"
"HDUKRCGDEW","UZJAVXGM5O"
"HDUKRCGDEW","WI3B0CUBP6"
"UZJAVXGM5O","HDUKRCGDEW"
"UZJAVXGM5O","T20YB4598N"
"UZJAVXGM5O","ZGCBA05L67"
"UZJAVXGM5O","66AJMDSRAH"
"UZJAVXGM5O","WI3B0CUBP6"
"ZGCBA05L67","HDUKRCGDEW"
"ZGCBA05L67","COYPXKTJOU"
"ZGCBA05L67","T20YB4598N"
"ZGCBA05L67","66AJMDSRAH"
"ZGCBA05L67","UZJAVXGM5O"
"ZGCBA05L67","WI3B0CUBP6"
"HXZ2I637DZ","QZYR0N9OFQ"
"VTYQL70578","2A05S2D3VJ"
"VTYQL70578","ABAC5FMC5A"
"VTYQL70578","83509PGTVW"
"83509PGTVW","2A05S2D3VJ"
"83509PGTVW","VTYQL70578"
"83509PGTVW","ABAC5FMC5A"
"XU2WNXXMN1","QF2J985OGN"
"XU2WNXXMN1","ZMPRDNQ6J7"
"ABAC5FMC5A","VTYQL70578"
"ABAC5FMC5A","83509PGTVW"
"3CMW8R5N12","78ZP41EC0F"
"3CMW8R5N12","0M7WU8FP7C"
"3CMW8R5N12","M2HZ783HU5"
"F1OWSZU87Z","HQX1D660Q9"
"F1OWSZU87Z","G47Q1T0ZMK"
"F1OWSZU87Z","M24EA0A46H"
"2A05S2D3VJ","VTYQL70578"
"2A05S2D3VJ","2JMR709RB4"
"2A05S2D3VJ","83509PGTVW"
