"from","to"
"NKE1I9HFO3","AOOAPXEXDP"
"NKE1I9HFO3","6FDA7VZ9MR"
"JHE8GP8CLO","XVH1BWCPNZ"
"JHE8GP8CLO","WIG13X5YMI"
"A3ABTPUK6X","EBLAHVS9CC"
"A3ABTPUK6X","YK5S4OHVPZ"
"A3ABTPUK6X","WIG13X5YMI"
"A3ABTPUK6X","VPMT7IKUX4"
"EBLAHVS9CC","A3ABTPUK6X"
"EBLAHVS9CC","WIG13X5YMI"
"AOOAPXEXDP","XVH1BWCPNZ"
"AOOAPXEXDP","JHE8GP8CLO"
"AOOAPXEXDP","YK5S4OHVPZ"
"AOOAPXEXDP","WIG13X5YMI"
"AOOAPXEXDP","NKE1I9HFO3"
"AOOAPXEXDP","QN43W8O1ES"
"6FDA7VZ9MR","XVH1BWCPNZ"
"6FDA7VZ9MR","WIG13X5YMI"
"QN43W8O1ES","AOOAPXEXDP"
"QN43W8O1ES","BG2TO90IAN"
"QN43W8O1ES","JHE8GP8CLO"
"QN43W8O1ES","YK5S4OHVPZ"
"QN43W8O1ES","X2GTG0VFK4"
"QN43W8O1ES","VPMT7IKUX4"
"YK5S4OHVPZ","XVH1BWCPNZ"
"YK5S4OHVPZ","A3ABTPUK6X"
"YK5S4OHVPZ","QN43W8O1ES"
"BG2TO90IAN","WIG13X5YMI"
"BG2TO90IAN","VPMT7IKUX4"
"BG2TO90IAN","QN43W8O1ES"
"WIG13X5YMI","AOOAPXEXDP"
"WIG13X5YMI","XVH1BWCPNZ"
"WIG13X5YMI","BG2TO90IAN"
"WIG13X5YMI","A3ABTPUK6X"
"WIG13X5YMI","JHE8GP8CLO"
"WIG13X5YMI","6FDA7VZ9MR"
"X2GTG0VFK4","AOOAPXEXDP"
"X2GTG0VFK4","XVH1BWCPNZ"
"X2GTG0VFK4","WIG13X5YMI"
"XVH1BWCPNZ","AOOAPXEXDP"
"XVH1BWCPNZ","JHE8GP8CLO"
"XVH1BWCPNZ","6FDA7VZ9MR"
"XVH1BWCPNZ","WIG13X5YMI"
"XVH1BWCPNZ","X2GTG0VFK4"
