"from","to"
"GTCMUMLWFS","A7DQOXW0ZL"
"GTCMUMLWFS","Q4XIZGYCR7"
"V9W7IUQSYK","Z03TKLE88E"
"V9W7IUQSYK","AD4J55SJAW"
"V9W7IUQSYK","WG9JE0Y97C"
"V9W7IUQSYK","VDBPT2TFXW"
"AD4J55SJAW","Q53PDWJU5I"
"Y4PY0GBC6J","CR0GAPUL4O"
"Y4PY0GBC6J","2FTT9MZH01"
"PKV7HQ6WDI","JRI7I7N3FD"
"PKV7HQ6WDI","6UXXA6I0EJ"
"4LUK5UIKA3","WG9JE0Y97C"
"4LUK5UIKA3","NE5H6SACC1"
"UXA98MLHJ4","XSIW2YKJF4"
"UXA98MLHJ4","53W8YCHXIY"
"JQ8RHHEXOX","XWA8A8KULR"
"JQ8RHHEXOX","9ATLBMKNWM"
"7OHUECQFL6","Z03TKLE88E"
"7OHUECQFL6","SXB3B38854"
"3PBMDK21O4","HWHGONEYI5"
"3PBMDK21O4","YKC05FC2W8"
"BIBCOZCF7E","HWHGONEYI5"
"YKC05FC2W8","2FTT9MZH01"
"SXB3B38854","7OHUECQFL6"
"PKHAXZPRSR","WG9JE0Y97C"
"PKHAXZPRSR","QBYR9R9AH8"
"PKHAXZPRSR","GOJPKGT7U0"
"C6C1TYBYKU","PKV7HQ6WDI"
"GOJPKGT7U0","WG9JE0Y97C"
"GOJPKGT7U0","PKHAXZPRSR"
"GOJPKGT7U0","QBYR9R9AH8"
"Z03TKLE88E","7OHUECQFL6"
"Q53PDWJU5I","AD4J55SJAW"
"Q53PDWJU5I","UJF7ZOI6PL"
"2KL0MM84PL","2EQQJ0ZBKQ"
"6FQNRQ0N5L","UXA98MLHJ4"
"HWHGONEYI5","3PBMDK21O4"
"6UXXA6I0EJ","JRI7I7N3FD"
"6UXXA6I0EJ","PKV7HQ6WDI"
"6UXXA6I0EJ","YEPWYTQHOG"
"UJF7ZOI6PL","AD4J55SJAW"
"UJF7ZOI6PL","GTCMUMLWFS"
"Q1H1ZG8990","VDBPT2TFXW"
"JRI7I7N3FD","6UXXA6I0EJ"
"JRI7I7N3FD","PKV7HQ6WDI"
"JRI7I7N3FD","YEPWYTQHOG"
"NE5H6SACC1","WG9JE0Y97C"
"NE5H6SACC1","4LUK5UIKA3"
"A7DQOXW0ZL","GTCMUMLWFS"
"53W8YCHXIY","JQ8RHHEXOX"
"53W8YCHXIY","YKC05FC2W8"
"OZ9NSPC7W5","JRI7I7N3FD"
"OZ9NSPC7W5","45H7OJE0PZ"
"YEPWYTQHOG","JRI7I7N3FD"
"YEPWYTQHOG","6UXXA6I0EJ"
"YEPWYTQHOG","PKV7HQ6WDI"
"99743ONDTU","2EQQJ0ZBKQ"
"CR0GAPUL4O","3205LQMXTX"
"QBYR9R9AH8","WG9JE0Y97C"
"QBYR9R9AH8","PKHAXZPRSR"
"QBYR9R9AH8","GOJPKGT7U0"
"OUUA6T4AZY","CVIJBNGTS6"
"2FTT9MZH01","CR0GAPUL4O"
"2FTT9MZH01","Y4PY0GBC6J"
"2FTT9MZH01","HWHGONEYI5"
"9SD7LRF1Z5","MXE6ART266"
"9SD7LRF1Z5","2KL0MM84PL"
"WS3DHCHKY5","6FQNRQ0N5L"
"3205LQMXTX","0QFCO9YFLQ"
"3205LQMXTX","2FTT9MZH01"
"9ATLBMKNWM","JQ8RHHEXOX"
"9ATLBMKNWM","XWA8A8KULR"
"45H7OJE0PZ","XSIW2YKJF4"
"45H7OJE0PZ","2FTT9MZH01"
"45H7OJE0PZ","6FQNRQ0N5L"
"2EQQJ0ZBKQ","99743ONDTU"
"2EQQJ0ZBKQ","GTCMUMLWFS"
"2EQQJ0ZBKQ","2KL0MM84PL"
"0QFCO9YFLQ","BIBCOZCF7E"
"0QFCO9YFLQ","HWHGONEYI5"
"0QFCO9YFLQ","3205LQMXTX"
"CVIJBNGTS6","XWA8A8KULR"
"CVIJBNGTS6","RVXB70AGCF"
"CVIJBNGTS6","9ATLBMKNWM"
"9NJQM88UOU","PKV7HQ6WDI"
"9NJQM88UOU","PEAYZNEWQT"
"XWA8A8KULR","JQ8RHHEXOX"
"XWA8A8KULR","CVIJBNGTS6"
"XWA8A8KULR","9ATLBMKNWM"
"XWA8A8KULR","C6C1TYBYKU"
"UX9VY4HUOV","A7DQOXW0ZL"
"UX9VY4HUOV","GTCMUMLWFS"
"UX9VY4HUOV","Q4XIZGYCR7"
"MXE6ART266","9SD7LRF1Z5"
