"ID","PreScore","PostScore"
"LDD02OAADY","8","7"
"LOSN98OTRD","16",NA
"FP772JHHK2","11","7"
"JRF2FAL87Y","14","5"
"35R3ZTH3XK",NA,NA
"8DH9OBCSK0","9","12"
"FNTOCIHG2G","1","15"
"1PR76UG2LP","4","8"
"L9F3UIPXH7","9","12"
"5OGLZRPI6F","13",NA
"KZQCIO90UU","9","10"
"K217HY060O","11","14"
"WN4SM7XW6U","0",NA
"VZSYWMRAH4","11","16"
"FLW8DIGLK4",NA,"15"
"JBIAOYTVX7","8","15"
"1FAD9J6V9J","11","14"
"TKNLV7C0ZY",NA,"10"
"MSCT5GQBS4","4","6"
"P7E0QJEV9I","4","7"
"HRF2U8UMK5","5","12"
"SAW3K5XE3P",NA,NA
"JWT6CZ8IV5","9","14"
"DSFXY4OAL2","1",NA
"OLHDWPUKIF","26","12"
"3A2U5P34WU","6",NA
"3SM4X8B2M7","7","14"
"C6QRJ0VZVO","7",NA
"T5J8KU0KRM","10","15"
"ISPBO1EKQS","5","7"
"5CAHV1BAXC","4","23"
"LPPU42IFG1","7","14"
"J9KOCEYNMT",NA,NA
"BJLQEP28PF","3","13"
"IVQ5TIFAVT",NA,NA
"LLNRN7CBEM",NA,NA
"B96914C86O","4","8"
"2YWFNPFPI1","9","21"
"1ITH146EEJ","8","13"
"TQQPHDGCV0","8","13"
"D2WF82RUMQ","7","8"
"MQDX1TIQKI","8","6"
"KMSISUAEUK","28","11"
"BT8X5QJ5YJ","6","11"
"33JOVOKE31","21",NA
"TEKBPSKK6G","7","7"
"CZ9JECZ41D","7","20"
"OSM1696Z0I","9","20"
"57H3Q5MP81",NA,"10"
"BCEUPSYSFJ","26","9"
"73U51WX9E3","0",NA
"5P5SUTWHX9","9","13"
"JRCIYRABS8","6","10"
"JC5CH0TAHT","6","18"
"KYSS21TUXP","9","15"
"Y115F9IKRB","3","5"
"55WZ23Z0VN","3",NA
"2J2N4P2R5G","12","15"
"1EMTRHKZFD","15","23"
"8J8AEJ4R05","8","12"
"VGMNJX84EW","19","8"
"K1YGPNVD5W","6","12"
"WSJT6PDFV1","11","8"
"YBUIE7YRRD","11","8"
"2VXN32XFF1",NA,"9"
"1RMOBG3MS1","8","11"
"OZIFB5J5U6","4","12"
"NMIGNVZ89B","27","14"
"VOQC14PVJ2","9",NA
"HE8NRN9ARX","11","10"
"T9ISH3MYTC","10","14"
"CAWZSADV05","10","8"
"K0UXIU943J","16",NA
"93MBBZIU70","6","11"
"OSZDD8MMQF","8","19"
"O7TUOMANEP","17","26"
"8WO8XMCLIZ","5","14"
"1XFP800KK9","8",NA
"6CCKLNU813","29","29"
"CRHO3RO1E2",NA,"13"
"GWKQFGU2E3","9","6"
"AR15TNUQAU","28","10"
"XYDSVU6A4K","26","13"
"C97P07KCAS","18","19"
"Z4CAGAAPPD","15","2"
"KVIQJEEAJA","9",NA
"6GE78VSOO2","10","22"
"I48DH5XO8S","6","7"
"VPO9PM8CSW","7","6"
"KW4YATTGW4","18","19"
"62ZG7JNDAO","12","18"
"MVG0JIDZBT","18","21"
"UJOHBMNB1Z","6","9"
"IV2FJ5WE3F","0",NA
"MFNT2YRLKM","10","14"
"SU1ZQ84EYA","11","22"
"AD8A5Z25FW","10","13"
"5DDR9RV7PB","8","18"
"9HZ9OC9ABE","9","16"
"AEE4KPA53P","12","11"
"QD9CL7J7UZ","15","11"
"O7HOPTCIRA","16","5"
"GPKDMZD312","5","11"
"PK0IONX6SK","8","13"
"LCCEPLSH9X",NA,NA
"H17A44NGVR","7","11"
"83EVX8X0GB","13","15"
"UD8UR9PPWB","16","13"
"00USTAPV73","5","6"
"M3KEG9BWFS","15",NA
"Y6RPGTYBOW",NA,"11"
"4AZ4LUGQF0","8",NA
"AW7PBX00MN",NA,"14"
"1DE7UA1CUM","7","8"
"UKLCANW9RQ","5","24"
"W1VWXQTRTZ","5","13"
"F4JH7RR3K9","9","12"
"NSEOBFEJ3B","11","9"
