ID,PreScore,PostScore
9RP8PN9QKK,5,4
5S5AZ1FACL,10,7
2O3FAXCBRA,35,44
CN996SECYD,5,9
YTJM6JQNDE,7,26
76C18FANWP,NA,NA
6PRJFGD5CV,NA,NA
QPJDS89F42,8,NA
CXRM0LDEAH,NA,NA
N25ZAPFMMU,10,NA
J5LVX91WMZ,NA,NA
ZBFVTO0A6V,NA,NA
9NOOPBY821,5,NA
EBCY3620ET,11,7
Q38XFPJYEI,3,2
4Z9LFUJ8GP,NA,NA
IOER092OOL,NA,6
ISOUQEQ246,10,NA
M1AZIVE0EH,NA,NA
2ZZPHJGPJ6,NA,NA
6UDRUKMT4Z,15,NA
6WYPJ3VO97,12,NA
7R1Q59EBWK,7,24
K3CU3I25OW,10,17
OXJ59ME9NJ,NA,NA
BQDTF51Q39,12,3
VPJVYG3QO5,NA,NA
72CTLVQGYW,17,45
W2YAS73CYP,7,8
1A44VXS4GD,8,6
JK23EBL24I,8,3
5NDD0ZRJBH,9,30
AQFI58TD8G,NA,NA
GRHPXH5NX1,19,15
E190GXYAEM,8,11
61UJWHQH44,10,NA
RE8N5X6NY2,13,6
16DS2QD5BB,NA,NA
H2BRZJDYKG,46,46
JPS123IFT2,10,25
OWG3QP48IJ,NA,NA
MB8BRXFLHK,8,NA
9O5VCV4ZQO,10,19
Q5KNKBN95Z,7,NA
RXBZQTL2LN,8,NA
JCKCW0MOKP,19,38
57BV8PN64F,10,NA
7R9BP8U0VU,6,29
0BRE1RYVTI,12,7
C8E2XLY565,NA,9
U3VGRW5MJF,11,NA
NQ7N396DMC,22,17
H52G6IEAEU,7,24
1PJC27SWZJ,NA,9
3DY40PIMZF,11,17
7GW1YSDKY5,NA,39
IJ1BLBDMMB,18,NA
FD64FRXFX9,9,5
V4BGOYSQXF,8,NA
1WPWWMEZZT,NA,NA
Z0ERODN1A4,NA,NA
VLEJR5XJLV,8,16
LX5WX5N02Y,25,17
M4B8KNSGRT,21,NA
8VBFCNPZUY,NA,NA
EI4RXEZH60,9,NA
EZHWSARI40,11,15
P47NEPU760,37,NA
3O12SSILXN,NA,NA
NS6NDMU7XX,26,NA
98OL27APQG,7,NA
VHHY54JYHA,NA,NA
YBTVPM1EXW,7,NA
22CSGLULT5,7,40
GN6E5FIYWE,6,NA
7S1J2F9KEQ,8,16
Z61ZJ5DPAB,7,11
Z3EFQ36OMK,NA,18
W9V1RL1HZV,7,NA
HAF17LO95X,NA,NA
ZVU2AIHKPQ,8,10
GFUXSDOPZ6,18,NA
N9RE5R37YZ,31,NA
OX4E0U93MY,5,5
EXSZ1CUKGO,10,8
MBAB3KIHK8,25,NA
DOJC8X1KPO,9,NA
8J5Z706L0I,11,31
Q95SL5D1Y2,NA,NA
3JNUG69WKG,12,NA
39Y5Y2DJDP,6,5
Z8C47JUQQA,NA,19
L87RUNHM4Y,6,NA
JJK4ID7LAH,NA,8
07OSY3IBJR,5,9
WGYMYC45ES,9,8
5T1TPSKFT2,6,NA
TR2VT2LT0I,3,NA
E4KB422YT8,46,NA
AYPNM7A4X7,14,NA
0788FKPQ2T,41,NA
8N43KV8MIY,8,18
BG0GNDO5R1,NA,NA
3AC4P4C7XV,14,14
4JIU52P4LI,12,11
XC8AGHU7L0,11,10
G2ZH4RQ7G3,NA,NA
AXNO0LDVAX,41,43
0FGC8HRAN9,36,NA
AK5BZPHQKT,20,NA
RAJOQ6TLFZ,5,NA
T2JO67AHCL,4,NA
3BZ6KOR6O9,10,NA
SX30AKPL00,14,NA
CEPOF2SZXJ,30,NA
5QTFA872H0,10,8
H979SLEG03,9,26
K83SE421KI,17,NA
VSTBLI7KDG,32,NA
9LMCI4MZNI,4,NA
7S66I4QHE2,11,NA
BSEABORWS4,7,NA
PC65DLY7DK,30,NA
4KSZSYVEZM,34,NA
R71DE205WD,NA,NA
TPJNK6YJD4,12,36
SMZL9EKQSY,19,NA
AY0AIOCESO,8,24
7FBVQAM7E7,36,NA
WGINE4T071,6,8
T2M03NJ0FU,15,36
27KWF571YR,14,6
00WIJ51JX7,8,9
9DPPDFHA7I,22,46
ZVA45C9VF4,NA,NA
6VV5XOU7WZ,3,NA
MHHUVM1DB3,NA,8
W1J4J1ZZ1S,8,NA
LFXW31E1MS,6,7
QGCE8XM8N1,47,NA
LVD7LSQ22O,NA,NA
ZDGLRGOM5X,14,NA
SKB4KO36NT,7,6
765VCRPKKC,NA,NA
0OOOOWB8OT,16,14
R3LY5KO0K6,NA,NA
CX6X318QVE,8,11
NP28HOKPRP,7,3
06MKGT22L0,NA,NA
Q5SQ0MHGJE,15,35
6XJ95HY8XM,NA,NA
JD0I4XYEKD,16,NA
LNZWL3I53X,NA,NA
QZKNWWUDX7,14,NA
T2S2RY1S3S,NA,NA
WGQUVE4EVL,11,23
T3ZK92O2V8,37,NA
YGF1UM5NS1,17,27
N7PZWKBYM1,NA,NA
UDUWZRVKZ4,NA,NA
R3ZXZHGSOV,10,NA
BWSBTYF6V4,5,24
6PGEA7XTXB,5,8
EAUX3JR98N,NA,NA
FNR1L6CJO0,15,NA
5YHGK1AK0X,31,41
ZB7YZMWBIV,11,NA
BKWGV6XAUE,9,32
S0MNFKYXMR,6,NA
YQOJ31UAIF,NA,NA
O2K36CBI70,NA,NA
PIQRYZHF9N,NA,NA
RB664TXH2J,NA,24
A0O0OCWNEA,9,NA
DCTUZL9XFT,3,NA
L53DPCP7SO,NA,NA
5HRAQGF8VD,10,12
B6P8V747M7,9,23
6XXDCRSXC6,15,NA
V9IWGSQN5O,6,NA
ZPR8QRIB24,NA,NA
KHQB12FOOK,29,NA
AYOL0XQOXI,6,NA
LUZX67D9WF,12,NA
52U1P4VRN2,8,30
WHFH81OB4Z,NA,NA
QBN592FXUT,6,8
QE3CNDR53M,30,8
Z8IKQW7WMX,5,9
33W4INPWDZ,6,21
ZEPJ80UX74,NA,16
R9BUGS7EQW,26,32
5XTQ1YQNCC,9,2
K1V21NP7HE,12,14
HWSQ692UO4,41,NA
2YYYI6L4F9,6,5
73U6COVG4A,22,NA
3VLUBQAIQW,6,NA
3DAKBTFV2F,18,32
5WA7W8O10X,41,46
42WYCF38YI,9,NA
H01JKVINLG,NA,7
25J9H0UEAD,8,13
Z03A0G41GA,NA,8
QC45RY16IY,NA,NA
APR2PWIU0K,10,10
NZHVXLCYAD,18,18
IYA30OSYM7,10,12
J8HYS9IT6M,5,NA
2876LBKRZE,10,10
JOY9ASYJNY,NA,NA
RRAB4TUZDY,9,NA
G1DKLHEIB0,7,40
NIWKOS7YQN,5,NA
K0VO2Q5JSK,8,NA
BK3K69X1ZN,9,NA
SO7BYOR832,15,3
92K45U8D5Y,9,NA
S1QVSZ5DH9,NA,NA
Q5YYB34MXM,12,NA
NLCAI19MAS,9,12
BOPSPYKX2L,15,NA
WTHKQFEBI5,19,35
JVZYWCG4FX,13,33
73SRVUEHXS,7,NA
LZFT5BWW4S,10,NA
SCDEHJECLD,35,NA
RZKJG5XWJ9,10,10
WDFHB45BOO,8,10
JG788YHXLN,10,14
A1XEDXNXGH,9,7
SSZOMTETDI,NA,NA
WLDPAHUMZU,11,7
U76S9TIC5T,11,NA
EG6YU5VLQ3,9,6
XHOOD3OZHH,13,9
KP5CJ155KZ,NA,NA
TLV0CJ92V5,8,4
NHF0YRLK5M,NA,NA
WICIX2I9EB,9,NA
TS00A9K57T,8,6
Z34Q3X0YPZ,7,9
D75XAUUZED,6,NA
VFBGMSSRFC,10,NA
84G3TR0ZIU,19,NA
3296ZRULXQ,NA,NA
S2G7XMXY6X,13,16
W6RZ853N6M,29,NA
4E8DJCH8GN,8,9
2FL6Y0FQN7,24,NA
YW014QN0PF,9,9
9ZKPJGOBYF,17,5
QB33Q40YLB,6,12
,5,6
,6,NA
,7,NA
,6,NA
,8,NA
,26,12
,5,NA
,4,31
,NA,NA
,7,20
