"ID","PreScore","PostScore"
"3N9ZW7XPS8","3","5"
"35CW92YD3Z","1",NA
"POP94FY4DY","1","2"
"CRJD5TV5G7","1","2"
"HF5RAIRHCV",NA,NA
"D2I1OK9W99","2","1"
"6SNYY6RKVN","0","7"
"UUJNLPZVS9","2","1"
"QQKE429OIP","1","4"
"DIUMNNX9GI","4","2"
"GDP8K491B2","8","13"
"T4XXVBRGP9","7","9"
"60GI0SM16I","6","6"
"D7PJMRH217","0",NA
"4KANTS0JTX","3","6"
"NG67NPZ4YG","3","4"
"C8QMISV7L7","3","4"
"12X3L6097Y",NA,NA
"8NPJCDXTIE","4","1"
"FIFPGJWD75","4","2"
"QIRUNKQ165","7","10"
"DD0FNCTMZV","5","7"
"TFJ2IRJV4Z","4","7"
"I1CJTO0PG7","13","13"
"X48DEPULYB","5","4"
"VYECB0C5FS","3","8"
"FNZ19H6ZR1","1",NA
"QGYJMBFCGQ","2","4"
"APOK0LRIG2",NA,NA
"71305T2AO6","3","7"
"4RDHRDSK77",NA,NA
"8L3681J8SH","2",NA
"GIZ3BTR9M8","4","6"
"FSJK0B0ZMF","3","4"
"VOZFTY2CVY","1","5"
"2KJ2SOVP3J",NA,NA
"3Z6573ZOHH","2","2"
"84STTZ0QB5","2",NA
"JK6LVFNS8X","5","9"
"SIVCFBREFW","7","9"
"Z2K2AJ48LK","1","4"
"44IUQ6G7A7","4","7"
"T7H63NKDR7","5","5"
"TP68IWWU80","8","8"
"SQT7A2TPZU","4","2"
"0DOP7JZGRO","9","11"
"NXNNS0R46V","0","4"
"1QTZP3YLSH","2",NA
"R2QCTQIX21","4","7"
"5XBM1ZGIRC","1","3"
"R0VJQ611YU","6","7"
"GXLNINAPTY","8","9"
"7NURDGNPWL",NA,NA
"8D2WVAURT4",NA,NA
"2R02XQ5BRE","14","13"
"EJZ9SNA0KD","4","3"
"M6SKJOQLGM","13",NA
"ES0VN0MYEE","3","6"
"VVYGN1NVTU","2","3"
"CNSUKJ7JR1","1","0"
"BHIYVVQMUX",NA,NA
"SKWNJXMN78","4",NA
"UI6GO20W5T","4","2"
"DULOFERKGK","0",NA
"S4A15YQKFR","2","8"
"3UQ5AUOOJ2","1","3"
"F4D6YDYY9H","2",NA
"OJDL3I9ANE",NA,NA
"DABO74GMKK","3",NA
"CTP8DDDACR","9","4"
"24ET6N6J0D","3","3"
"K80I2PMVF7","5","5"
"FJEHZ0MZFO","4","4"
"9EAA1FF9P4","1","4"
"E70ZNWYP2Q","3","4"
"J29RDF5DR1","5","5"
"FP71UUQL9C","1",NA
"761SOR4ZBS","3","2"
"M2WVUCZV3F","0","3"
"4BJ1N02KD7","5","4"
"090FLZL66C","2","4"
