"ID","PreScore","PostScore"
"ZC1GYH6Z5G","14","27"
"S1KT4LCHT6","11","23"
"PCETMCBQQW","14","23"
"VZRARG4DQS","7","19"
"PI4HSM7I39","12","29"
"6G21RCVEE4","8","30"
"YGISSFF3FQ","17","29"
"ETQXOFWUZB","4","9"
"WL2RUZGURV","8","14"
"VA8FH9HN0R","4","14"
"DU0DHZ7KY7","9","19"
"XBXHJZ7LF6","13","27"
"HV50WODAGJ","4","25"
"2NLPUGKAP9","11","18"
"TGRSB58B8B","14","20"
"KYZ1N8T9Z3","8","22"
"RVY95EISW7","9","15"
"OOQSS3LYG9","10","22"
"5E2KTSUUH2","5","21"
"FAPKMG1N08","15","28"
"P24T04IOCF","5","18"
"21IR5O3Q47","13","26"
"AM1FFFTJVY","2","8"
"Z0IZGVXYW4","9","28"
"5ZWOLMCGBP","9","20"
"IXLC73SPPO","10","29"
"BRMR5IUFPM","7","11"
"QDRJ63Q6OR","19","29"
"UKSPQODUZS",NA,NA
"1AYCJTDUDD","3","20"
"92T2557TK9","7","14"
"5YPW7IM81R","4","14"
"NK7SPQTFKH","10","21"
"NNOAZME2K1","3","8"
"P1F0UW65C6","5","28"
"SUYK6AEGWE","9","19"
"14WQZ2ML0K","11","21"
"156762QI0R","9","19"
"BISA0BR1FU","20","23"
"B7NIAFGA99","10","27"
"C2027KD958","6","13"
"LIA50D3PNE","8","21"
"2RVB5SBF65","13","20"
"XJJUHPHW9W","6","24"
"B51R4TQV7R","11","14"
"WWQA4FLGME","4","18"
"ZW788IEOE8","10","30"
"ZYI1IGPCPB","6","11"
