"ID","PreScore","PostScore"
"XZSTF2KT7O",NA,NA
"HR4FSI2JEH",NA,NA
"HT8LWGUWSW","8","10"
"RE98891OE5","16","18"
"BUUZFVOA9A","7","17"
"MY5TI3SXX9","7","18"
"S2HK8GU9KD","13",NA
"14LK2I5O50","8",NA
"OUDBQX5NPI","8","7"
"47B9C8PQOO","5","17"
"Q7T5N89G4J","6","12"
"S9H1MH0G2Z","5","20"
"JRMSQKRUG2","12","15"
"1M54PK56EM","5",NA
"QWMTZ8R19K","7","8"
"C1RCQMD7R1","19","21"
"DXHIPM1N3Y","3","4"
"UTJ6XYSA2Y",NA,NA
"1RW551EIPS","9",NA
"GR1Z1DAR36","11","16"
"251R0HA7UX","8","8"
"Q4VT58RE7S",NA,NA
"F3DFH7WYZI","7","6"
"SI0FTMTHAX","2","18"
"VGODAUQTXY","7","7"
"59FNNKHI6Y","8","14"
"IRZLST4E01","8","11"
"92UGJJPU59","6","15"
"MV8UCXZGIB",NA,NA
"5V0Q52UUJ9",NA,NA
"WFLP1F0833","5","19"
"4EMO98QYH7","8","3"
"W3JKE2AFDA","5","18"
"MJRC3GZ7K5",NA,NA
"GHV3LM5ZTU","14",NA
"8N3F1L51NX",NA,NA
"KDCWZQQNCE",NA,NA
"JVZHD2P26R","16","14"
"G8SL5M5W7O","8","14"
"BE2G3W9XF8","13",NA
"ZZPTWE1ZOB",NA,NA
"1O1J5KV4YD","12",NA
"ANJNYDLWX7","10","10"
"I81IBTQT3L","19","14"
"2HAJLNAH6Q",NA,NA
"K5WZRAPCAG",NA,NA
"ERQI0XGYS9",NA,NA
"9QQZC4QMNO","2",NA
"TFIHODGN4K","16","18"
"PSNB01OR28","3","19"
"B3DCAS6RLX","17","12"
"PV9NK0UD0D","5","6"
"09V3RNDCJ0","9","13"
"QQ5VTAXH00",NA,NA
"X36QO3QRKI",NA,NA
"V2WCYB6E9Z",NA,NA
"5D982HTX1U","6","16"
"WFIUAZIG21","6","18"
"AQU145DJ3L","4","7"
"WZDSCGPLM9","10","15"
